education,skills,interests,experience,passout_year,career_preference,target_career
MBA,Communication;Critical Thinking;Finance;Machine Learning;Problem Solving,Business;Management,0,2025,High Salary,Management Consultant
BA,Communication;Critical Thinking;Public Speaking;Statistics;Teaching,Finance;Healthcare;Research,2,2024,Startup Culture,Teacher
BTech,Cloud;Critical Thinking;Cybersecurity;Problem Solving;Python,Cybersecurity,6,2019,Startup Culture,Cybersecurity Analyst
BCom,Communication;Data Analysis;Excel;Marketing;Statistics,Marketing;Trading,0,2026,Abroad Opportunity,Marketing Analyst
MBA,Communication;Data Analysis;Machine Learning;Marketing;Problem Solving,Business;Healthcare,0,2025,Abroad Opportunity,Operations Analyst
BCom,Communication;Data Analysis;Excel;Problem Solving;SQL;Teaching,Business;Teaching,6,2020,Job Security,Operations Analyst
BBA,Communication;Leadership;Marketing;Public Speaking;Tableau,Product Management,3,2022,Fast Growth,Product Manager
BBA,Communication;Data Analysis;Leadership;Problem Solving;Teaching,Data,8,2018,Fast Growth,HR Analyst
MCA,AI/ML;Cloud;Design;Machine Learning;Problem Solving;Python,AI;Coding,0,2024,Abroad Opportunity,AI Engineer
MTech,AI/ML;Critical Thinking;Data Analysis;Machine Learning;Python;SQL,Consulting;Research,2,2023,Fast Growth,Data Scientist
BCom,Communication;Leadership;Public Speaking;Tableau,Business;Startup,3,2021,Fast Growth,Sales Manager
BTech,Data Analysis;Problem Solving;Python;SQL,Business;Coding;Management,0,2025,Fast Growth,Operations Analyst
MCom,Cloud;Communication;Critical Thinking;Public Speaking;Teaching;Writing,Marketing;Research,1,2024,Fast Growth,Teacher
12th PCB,Communication;Public Speaking;Statistics;Teaching;Writing,Product Management;Research;Teaching,4,2022,Job Security,Teacher
BA,Canva;Communication;Marketing;Problem Solving;Python,Design;Product Management,1,2024,Abroad Opportunity,UI/UX Designer
MBA,Data Analysis;Excel;Leadership;Problem Solving;Public Speaking,Data,6,2020,Remote Job,HR Analyst
MBA,AI/ML;Communication;Data Analysis;Marketing;Problem Solving,Product Management;Startup,4,2022,High Salary,Product Manager
BCom,Communication;Data Analysis;Excel;Problem Solving;SQL,Business;Consulting;Management,1,2025,Remote Job,Operations Analyst
BCom,Communication;Data Analysis;Excel;Leadership;Problem Solving;Sales,Consulting;Management,5,2021,High Salary,HR Analyst
